# id> internal primary key for ope_calls structure. Each represents one call
# phone_number> hashed incoming phone number
# operator> person who picked the call
# line> type of incoming line (i.e. O2 mobile, T-mobile prepaid etc.)
# answered_at> time of incoming call start (when operator starts to talk)
# droped_at> time of call end
# ended_at> time when operator finished the call (after call tasks are done)
# created_ad, updated_at> timestamp of database insert
# line_id> id of service that customer called at

"id","phone_number","operator","line","answered_at","droped_at","ended_at","created_at","updated_at","line_id"
"265","d706305a5f85522b682a77eb8ab32e7d","80239","line 9","2014-03-14 18:44:48","NULL","NULL","2014-03-14 18:44:46","2014-03-14 18:44:46","NULL"
"267","6cfd7bfb6dfd40b0deb2a2a278100ea0","80150","line 3","2014-03-14 18:44:51","NULL","NULL","2014-03-14 18:44:49","2014-03-14 18:44:49","NULL"
"269","389b44d6544678a5a2535deedc8edc53","80099","line 4","2014-03-14 18:45:05","NULL","NULL","2014-03-14 18:45:02","2014-03-14 18:45:02","NULL"
"271","337e7f4babe7a6b1e3ca37c953e8c4d6","80332","line 1","2014-03-14 18:45:14","NULL","NULL","2014-03-14 18:45:12","2014-03-14 18:45:12","NULL"
"273","211ac9e67890b7e87ce7f4f30905a6e5","80447","line 2","2014-03-14 18:45:15","NULL","NULL","2014-03-14 18:45:13","2014-03-14 18:45:13","NULL"
"275","f70c0f8fcc610cddb6404c1ebe55a59f","80134","line 2","2014-03-14 18:45:20","NULL","NULL","2014-03-14 18:45:18","2014-03-14 18:45:18","NULL"
"277","c7b6ad996853501857a4c2744fd1b31f","80097","line 5","2014-03-14 18:45:29","NULL","NULL","2014-03-14 18:45:27","2014-03-14 18:45:27","NULL"
"279","1e8b703f406233adcf9d3a87a7ee63df","80509","line 2","2014-03-14 18:45:43","NULL","NULL","2014-03-14 18:45:41","2014-03-14 18:45:41","NULL"
"281","cfbab20d30d8835df0f7621ac1ba00d1","80506","line 1","2014-03-14 18:45:51","NULL","NULL","2014-03-14 18:45:49","2014-03-14 18:45:49","NULL"
"283","66acda01e2993ae855d76373b402741f","80104","line 4","2014-03-14 18:46:00","NULL","NULL","2014-03-14 18:45:58","2014-03-14 18:45:58","NULL"
"285","f28c27d3aed4f47bddb85748dabbaaf7","80150","line 1","2014-03-14 18:46:03","NULL","NULL","2014-03-14 18:46:01","2014-03-14 18:46:01","NULL"
"287","6ad4b3a7f665da4b6ed9c08a533e2838","80134","line 2","2014-03-14 18:46:20","NULL","NULL","2014-03-14 18:46:19","2014-03-14 18:46:19","NULL"
"289","6cfd7bfb6dfd40b0deb2a2a278100ea0","81054","line 10","2014-03-14 18:46:11","NULL","NULL","2014-03-14 18:46:25","2014-03-14 18:46:25","NULL"
"291","9699608d982a29a007c37132da16a15b","80117","line 2","2014-03-14 18:46:29","NULL","NULL","2014-03-14 18:46:27","2014-03-14 18:46:27","NULL"
"293","d8bd5a89fafd1bfa310351b184fe80aa","80506","line 1","2014-03-14 18:46:37","NULL","NULL","2014-03-14 18:46:35","2014-03-14 18:46:35","NULL"
